business_name,category,city,address,phone,source
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,Books,Demo City,Demo Address,N/A,BooksToScrape
I Am Pilgrim (Pilgrim #1),Books,Demo City,Demo Address,N/A,BooksToScrape
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Books,Demo City,Demo Address,N/A,BooksToScrape
"Hush, Hush (Hush, Hush #1)",Books,Demo City,Demo Address,N/A,BooksToScrape
Hold Your Breath (Search and Rescue #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Hamilton: The Revolution,Books,Demo City,Demo Address,N/A,BooksToScrape
Greek Mythic History,Books,Demo City,Demo Address,N/A,BooksToScrape
God: The Most Unpleasant Character in All Fiction,Books,Demo City,Demo Address,N/A,BooksToScrape
Glory over Everything: Beyond The Kitchen House,Books,Demo City,Demo Address,N/A,BooksToScrape
Feathers: Displays of Brilliant Plumage,Books,Demo City,Demo Address,N/A,BooksToScrape
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",Books,Demo City,Demo Address,N/A,BooksToScrape
Every Last Word,Books,Demo City,Demo Address,N/A,BooksToScrape
Eligible (The Austen Project #4),Books,Demo City,Demo Address,N/A,BooksToScrape
El Deafo,Books,Demo City,Demo Address,N/A,BooksToScrape
Eight Hundred Grapes,Books,Demo City,Demo Address,N/A,BooksToScrape
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Books,Demo City,Demo Address,N/A,BooksToScrape
"Eat Fat, Get Thin",Books,Demo City,Demo Address,N/A,BooksToScrape
Don't Get Caught,Books,Demo City,Demo Address,N/A,BooksToScrape
Doctor Sleep (The Shining #2),Books,Demo City,Demo Address,N/A,BooksToScrape
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),Books,Demo City,Demo Address,N/A,BooksToScrape
Dear Mr. Knightley,Books,Demo City,Demo Address,N/A,BooksToScrape
Daily Fantasy Sports,Books,Demo City,Demo Address,N/A,BooksToScrape
Crazy Love: Overwhelmed by a Relentless God,Books,Demo City,Demo Address,N/A,BooksToScrape
Cometh the Hour (The Clifton Chronicles #6),Books,Demo City,Demo Address,N/A,BooksToScrape
Code Name Verity (Code Name Verity #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Clockwork Angel (The Infernal Devices #1),Books,Demo City,Demo Address,N/A,BooksToScrape
City of Glass (The Mortal Instruments #3),Books,Demo City,Demo Address,N/A,BooksToScrape
City of Fallen Angels (The Mortal Instruments #4),Books,Demo City,Demo Address,N/A,BooksToScrape
City of Bones (The Mortal Instruments #1),Books,Demo City,Demo Address,N/A,BooksToScrape
City of Ashes (The Mortal Instruments #2),Books,Demo City,Demo Address,N/A,BooksToScrape
Cell,Books,Demo City,Demo Address,N/A,BooksToScrape
Catching Jordan (Hundred Oaks),Books,Demo City,Demo Address,N/A,BooksToScrape
"Carry On, Warrior: Thoughts on Life Unarmed",Books,Demo City,Demo Address,N/A,BooksToScrape
Carrie,Books,Demo City,Demo Address,N/A,BooksToScrape
Buying In: The Secret Dialogue Between What We Buy and Who We Are,Books,Demo City,Demo Address,N/A,BooksToScrape
Brain on Fire: My Month of Madness,Books,Demo City,Demo Address,N/A,BooksToScrape
Batman: Europa,Books,Demo City,Demo Address,N/A,BooksToScrape
Barefoot Contessa Back to Basics,Books,Demo City,Demo Address,N/A,BooksToScrape
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Books,Demo City,Demo Address,N/A,BooksToScrape
Balloon Animals,Books,Demo City,Demo Address,N/A,BooksToScrape
Art Ops Vol. 1,Books,Demo City,Demo Address,N/A,BooksToScrape
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Angels Walking (Angels Walking #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Angels & Demons (Robert Langdon #1),Books,Demo City,Demo Address,N/A,BooksToScrape
All the Light We Cannot See,Books,Demo City,Demo Address,N/A,BooksToScrape
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Books,Demo City,Demo Address,N/A,BooksToScrape
Abstract City,Books,Demo City,Demo Address,N/A,BooksToScrape
A Time of Torment (Charlie Parker #14),Books,Demo City,Demo Address,N/A,BooksToScrape
A Study in Scarlet (Sherlock Holmes #1),Books,Demo City,Demo Address,N/A,BooksToScrape
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",Books,Demo City,Demo Address,N/A,BooksToScrape
A People's History of the United States,Books,Demo City,Demo Address,N/A,BooksToScrape
A Man Called Ove,Books,Demo City,Demo Address,N/A,BooksToScrape
A Distant Mirror: The Calamitous 14th Century,Books,Demo City,Demo Address,N/A,BooksToScrape
A Brush of Wings (Angels Walking #3),Books,Demo City,Demo Address,N/A,BooksToScrape
1491: New Revelations of the Americas Before Columbus,Books,Demo City,Demo Address,N/A,BooksToScrape
"The Three Searches, Meaning, and the Story",Books,Demo City,Demo Address,N/A,BooksToScrape
Searching for Meaning in Gailana,Books,Demo City,Demo Address,N/A,BooksToScrape
Rook,Books,Demo City,Demo Address,N/A,BooksToScrape
My Kitchen Year: 136 Recipes That Saved My Life,Books,Demo City,Demo Address,N/A,BooksToScrape
13 Hours: The Inside Account of What Really Happened In Benghazi,Books,Demo City,Demo Address,N/A,BooksToScrape
Will You Won't You Want Me?,Books,Demo City,Demo Address,N/A,BooksToScrape
Tipping Point for Planet Earth: How Close Are We to the Edge?,Books,Demo City,Demo Address,N/A,BooksToScrape
The Star-Touched Queen,Books,Demo City,Demo Address,N/A,BooksToScrape
The Silent Sister (Riley MacPherson #1),Books,Demo City,Demo Address,N/A,BooksToScrape
The Midnight Watch: A Novel of the Titanic and the Californian,Books,Demo City,Demo Address,N/A,BooksToScrape
The Lonely City: Adventures in the Art of Being Alone,Books,Demo City,Demo Address,N/A,BooksToScrape
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,Books,Demo City,Demo Address,N/A,BooksToScrape
The Golden Condom: And Other Essays on Love Lost and Found,Books,Demo City,Demo Address,N/A,BooksToScrape
The Epidemic (The Program 0.6),Books,Demo City,Demo Address,N/A,BooksToScrape
The Dinner Party,Books,Demo City,Demo Address,N/A,BooksToScrape
The Diary of a Young Girl,Books,Demo City,Demo Address,N/A,BooksToScrape
The Children,Books,Demo City,Demo Address,N/A,BooksToScrape
Stars Above (The Lunar Chronicles #4.5),Books,Demo City,Demo Address,N/A,BooksToScrape
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Books,Demo City,Demo Address,N/A,BooksToScrape
Raspberry Pi Electronics Projects for the Evil Genius,Books,Demo City,Demo Address,N/A,BooksToScrape
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,Books,Demo City,Demo Address,N/A,BooksToScrape
Psycho: Sanitarium (Psycho #1.5),Books,Demo City,Demo Address,N/A,BooksToScrape
Poisonous (Max Revere Novels #3),Books,Demo City,Demo Address,N/A,BooksToScrape
One with You (Crossfire #5),Books,Demo City,Demo Address,N/A,BooksToScrape
No Love Allowed (Dodge Cove #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Murder at the 42nd Street Library (Raymond Ambler #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Most Wanted,Books,Demo City,Demo Address,N/A,BooksToScrape
"Love, Lies and Spies",Books,Demo City,Demo Address,N/A,BooksToScrape
How to Speak Golf: An Illustrated Guide to Links Lingo,Books,Demo City,Demo Address,N/A,BooksToScrape
Hide Away (Eve Duncan #20),Books,Demo City,Demo Address,N/A,BooksToScrape
Furiously Happy: A Funny Book About Horrible Things,Books,Demo City,Demo Address,N/A,BooksToScrape
Everyday Italian: 125 Simple and Delicious Recipes,Books,Demo City,Demo Address,N/A,BooksToScrape
Equal Is Unfair: America's Misguided Fight Against Income Inequality,Books,Demo City,Demo Address,N/A,BooksToScrape
Eleanor & Park,Books,Demo City,Demo Address,N/A,BooksToScrape
Dirty (Dive Bar #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Can You Keep a Secret? (Fear Street Relaunch #4),Books,Demo City,Demo Address,N/A,BooksToScrape
Boar Island (Anna Pigeon #19),Books,Demo City,Demo Address,N/A,BooksToScrape
A Paris Apartment,Books,Demo City,Demo Address,N/A,BooksToScrape
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",Books,Demo City,Demo Address,N/A,BooksToScrape
Troublemaker: Surviving Hollywood and Scientology,Books,Demo City,Demo Address,N/A,BooksToScrape
The Widow,Books,Demo City,Demo Address,N/A,BooksToScrape
"The Sleep Revolution: Transforming Your Life, One Night at a Time",Books,Demo City,Demo Address,N/A,BooksToScrape
The Improbability of Love,Books,Demo City,Demo Address,N/A,BooksToScrape
The Art of Startup Fundraising,Books,Demo City,Demo Address,N/A,BooksToScrape
Take Me Home Tonight (Rock Star Romance #3),Books,Demo City,Demo Address,N/A,BooksToScrape
Sleeping Giants (Themis Files #1),Books,Demo City,Demo Address,N/A,BooksToScrape
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",Books,Demo City,Demo Address,N/A,BooksToScrape
Playing with Fire,Books,Demo City,Demo Address,N/A,BooksToScrape
Off the Hook (Fishing for Trouble #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Mothering Sunday,Books,Demo City,Demo Address,N/A,BooksToScrape
"Mother, Can You Not?",Books,Demo City,Demo Address,N/A,BooksToScrape
M Train,Books,Demo City,Demo Address,N/A,BooksToScrape
Lilac Girls,Books,Demo City,Demo Address,N/A,BooksToScrape
Lies and Other Acts of Love,Books,Demo City,Demo Address,N/A,BooksToScrape
Lab Girl,Books,Demo City,Demo Address,N/A,BooksToScrape
Keep Me Posted,Books,Demo City,Demo Address,N/A,BooksToScrape
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Books,Demo City,Demo Address,N/A,BooksToScrape
Grey (Fifty Shades #4),Books,Demo City,Demo Address,N/A,BooksToScrape
"Exit, Pursued by a Bear",Books,Demo City,Demo Address,N/A,BooksToScrape
Daredevils,Books,Demo City,Demo Address,N/A,BooksToScrape
Cravings: Recipes for What You Want to Eat,Books,Demo City,Demo Address,N/A,BooksToScrape
Born for This: How to Find the Work You Were Meant to Do,Books,Demo City,Demo Address,N/A,BooksToScrape
Arena,Books,Demo City,Demo Address,N/A,BooksToScrape
Adultery,Books,Demo City,Demo Address,N/A,BooksToScrape
A Mother's Reckoning: Living in the Aftermath of Tragedy,Books,Demo City,Demo Address,N/A,BooksToScrape
A Gentleman's Position (Society of Gentlemen #3),Books,Demo City,Demo Address,N/A,BooksToScrape
11/22/63,Books,Demo City,Demo Address,N/A,BooksToScrape
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Books,Demo City,Demo Address,N/A,BooksToScrape
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,Books,Demo City,Demo Address,N/A,BooksToScrape
Without Shame,Books,Demo City,Demo Address,N/A,BooksToScrape
Watchmen,Books,Demo City,Demo Address,N/A,BooksToScrape
Unlimited Intuition Now,Books,Demo City,Demo Address,N/A,BooksToScrape
Underlying Notes,Books,Demo City,Demo Address,N/A,BooksToScrape
The Shack,Books,Demo City,Demo Address,N/A,BooksToScrape
The New Brand You: Your New Image Makes the Sale for You,Books,Demo City,Demo Address,N/A,BooksToScrape
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",Books,Demo City,Demo Address,N/A,BooksToScrape
The Flowers Lied,Books,Demo City,Demo Address,N/A,BooksToScrape
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Books,Demo City,Demo Address,N/A,BooksToScrape
The Book of Mormon,Books,Demo City,Demo Address,N/A,BooksToScrape
The Art and Science of Low Carbohydrate Living,Books,Demo City,Demo Address,N/A,BooksToScrape
The Alien Club,Books,Demo City,Demo Address,N/A,BooksToScrape
Suzie Snowflake: One beautiful flake (a self-esteem story),Books,Demo City,Demo Address,N/A,BooksToScrape
Nap-a-Roo,Books,Demo City,Demo Address,N/A,BooksToScrape
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",Books,Demo City,Demo Address,N/A,BooksToScrape
Modern Day Fables,Books,Demo City,Demo Address,N/A,BooksToScrape
If I Gave You God's Phone Number....: Searching for Spirituality in America,Books,Demo City,Demo Address,N/A,BooksToScrape
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Books,Demo City,Demo Address,N/A,BooksToScrape
Dress Your Family in Corduroy and Denim,Books,Demo City,Demo Address,N/A,BooksToScrape
Don't Forget Steven,Books,Demo City,Demo Address,N/A,BooksToScrape
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,Books,Demo City,Demo Address,N/A,BooksToScrape
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,Books,Demo City,Demo Address,N/A,BooksToScrape
A Shard of Ice (The Black Symphony Saga #1),Books,Demo City,Demo Address,N/A,BooksToScrape
A Hero's Curse (The Unseen Chronicles #1),Books,Demo City,Demo Address,N/A,BooksToScrape
23 Degrees South: A Tropical Tale of Changing Whether...,Books,Demo City,Demo Address,N/A,BooksToScrape
"Zero to One: Notes on Startups, or How to Build the Future",Books,Demo City,Demo Address,N/A,BooksToScrape
Why Not Me?,Books,Demo City,Demo Address,N/A,BooksToScrape
When Breath Becomes Air,Books,Demo City,Demo Address,N/A,BooksToScrape
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Books,Demo City,Demo Address,N/A,BooksToScrape
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),Books,Demo City,Demo Address,N/A,BooksToScrape
The New Drawing on the Right Side of the Brain,Books,Demo City,Demo Address,N/A,BooksToScrape
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",Books,Demo City,Demo Address,N/A,BooksToScrape
The Martian (The Martian #1),Books,Demo City,Demo Address,N/A,BooksToScrape
The High Mountains of Portugal,Books,Demo City,Demo Address,N/A,BooksToScrape
The Grownup,Books,Demo City,Demo Address,N/A,BooksToScrape
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Books,Demo City,Demo Address,N/A,BooksToScrape
South of Sunshine,Books,Demo City,Demo Address,N/A,BooksToScrape
Smarter Faster Better: The Secrets of Being Productive in Life and Business,Books,Demo City,Demo Address,N/A,BooksToScrape
Silence in the Dark (Logan Point #4),Books,Demo City,Demo Address,N/A,BooksToScrape
Shadows of the Past (Logan Point #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Roller Girl,Books,Demo City,Demo Address,N/A,BooksToScrape
Rising Strong,Books,Demo City,Demo Address,N/A,BooksToScrape
Proofs of God: Classical Arguments from Tertullian to Barth,Books,Demo City,Demo Address,N/A,BooksToScrape
Please Kill Me: The Uncensored Oral History of Punk,Books,Demo City,Demo Address,N/A,BooksToScrape
Out of Print: City Lights Spotlight No. 14,Books,Demo City,Demo Address,N/A,BooksToScrape
My Life Next Door (My Life Next Door ),Books,Demo City,Demo Address,N/A,BooksToScrape
Miller's Valley,Books,Demo City,Demo Address,N/A,BooksToScrape
Man's Search for Meaning,Books,Demo City,Demo Address,N/A,BooksToScrape
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",Books,Demo City,Demo Address,N/A,BooksToScrape
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,Books,Demo City,Demo Address,N/A,BooksToScrape
Les Fleurs du Mal,Books,Demo City,Demo Address,N/A,BooksToScrape
Left Behind (Left Behind #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Kill 'Em and Leave: Searching for James Brown and the American Soul,Books,Demo City,Demo Address,N/A,BooksToScrape
Kierkegaard: A Christian Missionary to Christians,Books,Demo City,Demo Address,N/A,BooksToScrape
John Vassos: Industrial Design for Modern Life,Books,Demo City,Demo Address,N/A,BooksToScrape
I'll Give You the Sun,Books,Demo City,Demo Address,N/A,BooksToScrape
I Will Find You,Books,Demo City,Demo Address,N/A,BooksToScrape
Hystopia: A Novel,Books,Demo City,Demo Address,N/A,BooksToScrape
Howl and Other Poems,Books,Demo City,Demo Address,N/A,BooksToScrape
History of Beauty,Books,Demo City,Demo Address,N/A,BooksToScrape
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Books,Demo City,Demo Address,N/A,BooksToScrape
Future Shock (Future Shock #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Ender's Game (The Ender Quintet #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,Books,Demo City,Demo Address,N/A,BooksToScrape
Death by Leisure: A Cautionary Tale,Books,Demo City,Demo Address,N/A,BooksToScrape
Brilliant Beacons: A History of the American Lighthouse,Books,Demo City,Demo Address,N/A,BooksToScrape
Brazen: The Courage to Find the You That's Been Hiding,Books,Demo City,Demo Address,N/A,BooksToScrape
Between the World and Me,Books,Demo City,Demo Address,N/A,BooksToScrape
Being Mortal: Medicine and What Matters in the End,Books,Demo City,Demo Address,N/A,BooksToScrape
"A Murder Over a Girl: Justice, Gender, Junior High",Books,Demo City,Demo Address,N/A,BooksToScrape
32 Yolks,Books,Demo City,Demo Address,N/A,BooksToScrape
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",Books,Demo City,Demo Address,N/A,BooksToScrape
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Books,Demo City,Demo Address,N/A,BooksToScrape
Wildlife of New York: A Five-Borough Coloring Book,Books,Demo City,Demo Address,N/A,BooksToScrape
What Happened on Beale Street (Secrets of the South Mysteries #2),Books,Demo City,Demo Address,N/A,BooksToScrape
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,Books,Demo City,Demo Address,N/A,BooksToScrape
Under the Tuscan Sun,Books,Demo City,Demo Address,N/A,BooksToScrape
Toddlers Are A**holes: It's Not Your Fault,Books,Demo City,Demo Address,N/A,BooksToScrape
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,Books,Demo City,Demo Address,N/A,BooksToScrape
The Whale,Books,Demo City,Demo Address,N/A,BooksToScrape
